"","theta","phys","Ppu","Ps","Pu","Pps","PpAll","PsiU","PsiS"
"420",21.9,"Plain",9.40239937633761e-53,1.37731568255735e-32,1.25365325017835e-52,3.44328920639336e-33,3.44328920639336e-33,2.73064468673721e-20,1
"421",22,"Plain",2.70678535104078e-53,6.13587332715906e-33,3.60904713472104e-53,1.53396833178976e-33,1.53396833178976e-33,1.76456403626183e-20,1
"422",22.1,"Plain",7.74175656724937e-54,2.72119547731076e-33,1.03223420896658e-53,6.80298869327689e-34,6.80298869327689e-34,1.13799344909984e-20,1
"423",22.2,"Plain",2.1998637106582e-54,1.20138874335162e-33,2.93315161421094e-54,3.00347185837904e-34,3.00347185837904e-34,7.32440260600764e-21,1
"424",22.3,"Plain",6.21044343559321e-55,5.28016919431244e-34,8.28059124745762e-55,1.32004229857811e-34,1.32004229857811e-34,4.70473063043724e-21,1
"425",22.4,"Plain",1.74188715368263e-55,2.31021597280179e-34,2.32251620491017e-55,5.77553993200448e-35,5.77553993200448e-35,3.01597283403785e-21,1
"426",22.5,"Plain",4.85386834628272e-56,1.00623122045726e-34,6.47182446171029e-56,2.51557805114314e-35,2.51557805114314e-35,1.92952404878752e-21,1
"427",22.6,"Plain",1.3437749457166e-56,4.36298235526517e-35,1.79169992762213e-56,1.09074558881629e-35,1.09074558881629e-35,1.23197834535815e-21,1
"428",22.7,"Plain",3.69603144235166e-57,1.88325698878348e-35,4.92804192313555e-57,4.70814247195869e-36,4.70814247195869e-36,7.85029651155402e-22,1
"429",22.8,"Plain",1.00998598034791e-57,8.0923783883592e-36,1.34664797379722e-57,2.0230945970898e-36,2.0230945970898e-36,4.99228252500288e-22,1
"430",22.9,"Plain",2.74198834363002e-58,3.46165066035848e-36,3.65598445817336e-58,8.65412665089619e-37,8.65412665089619e-37,3.16841716586857e-22,1
"431",23,"Plain",7.39582172059146e-59,1.47411293523458e-36,9.86109562745527e-59,3.68528233808645e-37,3.68528233808645e-37,2.00685348966551e-22,1
"432",23.1,"Plain",1.98188218536707e-59,6.24911819370002e-37,2.64250958048943e-59,1.56227954842501e-37,1.56227954842501e-37,1.26858358183405e-22,1
"433",23.2,"Plain",5.27642542931992e-60,2.63722499491369e-37,7.03523390575989e-60,6.59306248728423e-38,6.59306248728423e-38,8.00299623960238e-23,1
"434",23.3,"Plain",1.39563658727896e-60,1.10793961282178e-37,1.86084878303862e-60,2.76984903205444e-38,2.76984903205444e-38,5.03867384513659e-23,1
"435",23.4,"Plain",3.66754505908034e-61,4.63367382883324e-38,4.89006007877379e-61,1.15841845720831e-38,1.15841845720831e-38,3.16599328701894e-23,1
"436",23.5,"Plain",9.57522837541473e-62,1.92919128875933e-38,1.27669711672196e-61,4.82297822189832e-39,4.82297822189832e-39,1.9853351881083e-23,1
"437",23.6,"Plain",2.48366715652801e-62,7.99586746989856e-39,3.31155620870401e-62,1.99896686747464e-39,1.99896686747464e-39,1.24247539913741e-23,1
"438",23.7,"Plain",6.4004162377784e-63,3.29910657070409e-39,8.53388831703787e-63,8.24776642676023e-40,8.24776642676023e-40,7.76018124981326e-24,1
"439",23.8,"Plain",1.63867796167119e-63,1.35508820462285e-39,2.18490394889492e-63,3.38772051155712e-40,3.38772051155712e-40,4.83711084217509e-24,1
"440",23.9,"Plain",4.1682098761865e-64,5.54088642001226e-40,5.55761316824867e-64,1.38522160500307e-40,1.38522160500307e-40,3.00905635685438e-24,1
"441",24,"Plain",1.05335828194272e-64,2.25544059745795e-40,1.40447770925696e-64,5.63860149364487e-41,5.63860149364487e-41,1.86811975120061e-24,1
"442",24.1,"Plain",2.64468054705062e-65,9.13953292124642e-41,3.52624072940083e-65,2.28488323031161e-41,2.28488323031161e-41,1.1574685795606e-24,1
"443",24.2,"Plain",6.59691514706312e-66,3.68686361443069e-41,8.79588686275083e-66,9.21715903607671e-42,9.21715903607671e-42,7.15721093803661e-25,1
"444",24.3,"Plain",1.63485464605338e-66,1.48057566103805e-41,2.17980619473784e-66,3.70143915259512e-42,3.70143915259512e-42,4.41680810802244e-25,1
"445",24.4,"Plain",4.0252046372334e-67,5.91894905400632e-42,5.3669395163112e-67,1.47973726350158e-42,1.47973726350158e-42,2.72021576837793e-25,1
"446",24.5,"Plain",9.8461705357113e-68,2.35558652141461e-42,1.31282273809484e-67,5.88896630353652e-43,5.88896630353652e-43,1.67196924353232e-25,1
"447",24.6,"Plain",2.39286012861817e-68,9.33241368861619e-43,3.19048017149089e-68,2.33310342215405e-43,2.33310342215405e-43,1.02561254074581e-25,1
"448",24.7,"Plain",5.77747192411184e-69,3.68069105759207e-43,7.70329589881579e-69,9.20172764398017e-44,9.20172764398017e-44,6.27868172982875e-26,1
"449",24.8,"Plain",1.38589058605656e-69,1.44512432956417e-43,1.84785411474208e-69,3.61281082391043e-44,3.61281082391043e-44,3.83604526670596e-26,1
"450",24.9,"Plain",3.30286343009774e-70,5.6483489867187e-44,4.40381790679699e-70,1.41208724667967e-44,1.41208724667967e-44,2.33899388147861e-26,1
"451",25,"Plain",7.8202900086234e-71,2.19775002658591e-44,1.04270533448312e-70,5.49437506646479e-45,5.49437506646479e-45,1.42332656835806e-26,1
"452",-20,"Ridge",1.16423645699405e-27,3.6401435288226e-17,1.71571688399123e-27,1.17004613426441e-17,1.17004613438083e-17,9.95034659560788e-11,0.999999999900496
"453",-19.9,"Ridge",1.91752984807699e-27,4.69948823283697e-17,2.82583346032398e-27,1.51054978912617e-17,1.51054978931792e-17,1.26942512033505e-10,0.999999999873058
"454",-19.8,"Ridge",3.15164388000104e-27,6.06156501637666e-17,4.64452782315943e-27,1.94836018383536e-17,1.94836018415052e-17,1.61758791092066e-10,0.999999999838241
"455",-19.7,"Ridge",5.16923423084487e-27,7.81126032597471e-17,7.61781886650824e-27,2.51076224763473e-17,2.51076224815165e-17,2.0588306338644e-10,0.999999999794117
"456",-19.6,"Ridge",8.4607595364973e-27,1.00567950251747e-16,1.2468487737996e-26,3.23254125809188e-17,3.23254125893796e-17,2.61737093474162e-10,0.999999999738263
"457",-19.5,"Ridge",1.38193163942093e-26,1.29360065875217e-16,2.03653083704138e-26,4.15800211741768e-17,4.15800211879962e-17,3.32354722277027e-10,0.999999999667645
