delta,ZRPu,ZPPu,ZRPs,ZPPs
7.23,0.899500673,0.99508369,0.000236558,-1.04E-06
7.24,0.900115276,0.995145695,0.000235402,-1.04E-06
7.25,0.900727085,0.995206753,0.000234252,-1.04E-06
7.26,0.901336103,0.995266878,0.000233106,-1.04E-06
7.27,0.901942337,0.995326082,0.000231965,-1.04E-06
7.28,0.902545791,0.995384379,0.000230829,-1.04E-06
7.29,0.903146472,0.995441783,0.000229697,-1.04E-06
7.3,0.903744384,0.995498308,0.00022857,-1.04E-06
7.31,0.904339534,0.995553965,0.000227448,-1.04E-06
7.32,0.904931926,0.995608769,0.00022633,-1.03E-06
7.33,0.905521566,0.995662732,0.000225217,-1.03E-06
7.34,0.906108459,0.995715867,0.000224108,-1.03E-06
7.35,0.906692613,0.995768186,0.000223004,-1.03E-06
7.36,0.907274031,0.995819703,0.000221905,-1.03E-06
7.37,0.907852719,0.995870429,0.00022081,-1.03E-06
7.38,0.908428685,0.995920378,0.00021972,-1.02E-06
7.39,0.909001932,0.99596956,0.000218634,-1.02E-06
7.4,0.909572468,0.996017989,0.000217552,-1.02E-06
7.41,0.910140298,0.996065677,0.000216476,-1.02E-06
7.42,0.910705427,0.996112634,0.000215403,-1.01E-06
7.43,0.911267862,0.996158874,0.000214335,-1.01E-06
7.44,0.911827609,0.996204407,0.000213272,-1.00E-06
7.45,0.912384674,0.996249245,0.000212213,-1.00E-06
7.46,0.912939062,0.996293399,0.000211159,-9.97E-07
7.47,0.913490781,0.996336881,0.000210108,-9.93E-07
7.48,0.914039835,0.996379703,0.000209063,-9.88E-07
7.49,0.914586232,0.996421874,0.000208022,-9.84E-07
7.5,0.915129977,0.996463406,0.000206985,-9.79E-07
7.51,0.915671076,0.99650431,0.000205952,-9.74E-07
7.52,0.916209537,0.996544596,0.000204924,-9.69E-07
7.53,0.916745364,0.996584275,0.0002039,-9.63E-07
7.54,0.917278565,0.996623358,0.000202881,-9.58E-07
7.55,0.917809146,0.996661854,0.000201865,-9.52E-07
7.56,0.918337113,0.996699775,0.000200855,-9.46E-07
7.57,0.918862473,0.99673713,0.000199848,-9.40E-07
7.58,0.919385232,0.996773929,0.000198846,-9.33E-07
7.59,0.919905396,0.996810182,0.000197848,-9.27E-07
7.6,0.920422972,0.996845899,0.000196854,-9.20E-07
7.61,0.920937967,0.99688109,0.000195864,-9.13E-07
7.62,0.921450387,0.996915764,0.000194879,-9.06E-07
7.63,0.92196024,0.99694993,0.000193898,-8.99E-07
7.64,0.92246753,0.996983599,0.000192921,-8.91E-07
7.65,0.922972266,0.997016779,0.000191948,-8.84E-07
7.66,0.923474453,0.997049479,0.00019098,-8.76E-07
7.67,0.923974099,0.997081708,0.000190015,-8.68E-07
7.68,0.924471211,0.997113476,0.000189055,-8.60E-07
7.69,0.924965794,0.997144791,0.000188099,-8.51E-07
7.7,0.925457857,0.997175662,0.000187147,-8.43E-07
7.71,0.925947405,0.997206097,0.000186199,-8.34E-07
7.72,0.926434446,0.997236104,0.000185256,-8.25E-07
7.73,0.926918987,0.997265693,0.000184316,-8.16E-07
7.74,0.927401033,0.997294872,0.00018338,-8.07E-07
7.75,0.927880594,0.997323647,0.000182449,-7.98E-07
7.76,0.928357675,0.997352029,0.000181521,-7.88E-07
7.77,0.928832283,0.997380024,0.000180598,-7.79E-07
7.78,0.929304425,0.99740764,0.000179678,-7.69E-07
7.79,0.929774109,0.997434886,0.000178763,-7.59E-07
7.8,0.930241342,0.997461768,0.000177852,-7.49E-07
7.81,0.93070613,0.997488294,0.000176944,-7.39E-07
7.82,0.931168481,0.997514472,0.000176041,-7.29E-07
7.83,0.931628402,0.997540309,0.000175141,-7.18E-07
7.84,0.932085901,0.997565812,0.000174245,-7.08E-07
7.85,0.932540983,0.997590988,0.000173354,-6.97E-07
7.86,0.932993657,0.997615845,0.000172466,-6.86E-07
7.87,0.93344393,0.997640388,0.000171582,-6.75E-07
7.88,0.933891808,0.997664626,0.000170702,-6.64E-07
7.89,0.9343373,0.997688564,0.000169826,-6.53E-07
7.9,0.934780413,0.997712209,0.000168954,-6.41E-07
7.91,0.935221154,0.997735568,0.000168085,-6.30E-07
7.92,0.93565953,0.997758647,0.000167221,-6.18E-07
7.93,0.936095548,0.997781452,0.00016636,-6.06E-07
7.94,0.936529217,0.99780399,0.000165503,-5.94E-07
7.95,0.936960543,0.997826267,0.00016465,-5.83E-07
7.96,0.937389534,0.997848288,0.000163801,-5.70E-07
7.97,0.937816198,0.99787006,0.000162955,-5.58E-07
7.98,0.938240541,0.997891589,0.000162113,-5.46E-07
7.99,0.938662571,0.997912879,0.000161275,-5.34E-07
8,0.939082296,0.997933937,0.000160441,-5.21E-07
